This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \____________    \
          \                \                \_____________________  \    \
           \                \___________________________________  \  \    \
____________\___________________________________________________\__\__\____\___
1978fc2d5ed0aa0da30936d864df660e5ae8a5a4530fa0d8c477e328840699b1 55 55 1177 554
a95769593d0f3fc5bae96fc6cd0533553feb7fb7abbd4fff66a57937f1c5b4d5 36 36 163 100
e6ac94e213b71a16742131f13303a65e5877ae4c2e97306d38014943e1e60b7c 14 14 151 79
c3505888e8f834a1b48e3cf25d92ab8b180f841ffb3b7ea40e70ebc14382abd8 95 93 3246 2028
987c0178731ff0ea2528a100d03dfc3cf5d3dc7a96a47c2b3f3323b595b64afd 4 0 0 0
e0ca65d69b0ee5492063c6771df913c338e40a273a33481201264cccd4c8f607 96 96 2381 1158
1c169d315e71f43b4165b3b9a9cc5ce78391d0f4f3a3d5f728b879431392ce86 6 6 1230 9
7178b4cc1cdd8badc138da61f452eaab5c39a29f188f80ed3f9d3ee3cc07a9c1 4 0 0 0
560a830c75f5c091178b453f78aadad6748af1d1e56ecf1d5c4b84aaee4866cc 2 2 499 0
92229c9ecd35814b00eefadb57558a83b3fe533fcf79665e2150fa541af45ae3 2 2 478 8
73d362ace4ac92fadc26b95b1d11b53cbbfd93f478fc94d5883523e3f133d6b2 4848 0 0 0
4fc784a466d937a103328e6f189ae04d11802c8f482daef1be3cc9a10edc0e59 18 18 19821 3999
842e1743879fc3975c84a5938807a15c86322367630dd46db76654d41c570984 1 1 784764 0
0d15542078c044861ed6148c3c824cf37659f35415d553071c021422a67d648d 5 5 785 179
95b58cd1afa736492130c95cabff7220b8a1e9b7e424a7ef9ea379dbb43b19e9 272 8 68 40
37032466b0111a9f80f9a1433fecb073bfdf0c194dcaa20e02abbdf6002c8601 1 1 247 0
1ac0f40b75bc9730dd0744b17d3ea3a1af0b9363cecef04855cb9bf1c1459dcc 3 3 2467 186
a43c55e39c3716616d376c12db46be71c2947720cd01bf174b7504512a4e47dc 1 1 597 0
6aaa078372718f7a7ec53ed4d2c595538eb81541f4818c2f84cd6d4e4a315f58 1 1 1295 0
5e3f876a0942ef91519b4e37a6a1b1fb01cb8ff44d7af85dc518ee404eccba6f 2 2 637 3
7f42798835b9d0b44773fdc7304e66d5889cd9ef85536c18b6eedd45de7988ae 72 7 237 130
2ef38208776a1486492142511cb17248fa94ef2bd9fc563e9e32c33f95f7cd5f 32 0 0 0
74cbd9bbbe2bfa4dd710747ff09bf8791b92d8419e7c2cfdd4327ae63c80d5c2 1 1 3809 0
a5b63d9fe8520ed1eda8fa0f60d706c84212f7e340a5f82c624e9aa5a07951c7 68 0 0 0
83a0bc735e288dca446b5df66ee7fc0fea3ee2c8f061b91cce4f4c3213a1d633 207 21 2676 6403
5b08f7065d31bcd9d7d065b7682683a8b52bddaf4ec49f0e9b8c1f37c716f31c 214 24 2781 6419
6c52a76d2b04f4508001c72d2744b5cc22d8e709b9fd99a11933683be4d80cb9 7 0 0 0
e5164b9f1886082bdf0a5a5704b66be0c76c031f72980972a13b4659e59ad42f 8 1 694 759
